ID   Trainer                        #  Original        BST  --> Replacement     BST  Diff% 
----------------------------------------------------------------------------------------------------
1    Silver                         0  Gastly          310  --> Carvanha        305  -1.6%
1    Silver                         1  Zubat           245  --> Bunnelby        237  -3.3%
1    Silver                         2  Bayleef         405  --> -----           417  +3.0%
2    Silver                         0  Cyndaquil       309  --> Frillish        335  +8.4%
3    Silver                         0  Totodile        314  --> Pansear         316  +0.6%
4    Wade                           0  Caterpie        195  --> Scatterbug      200  +2.6%
4    Wade                           1  Caterpie        195  --> Caterpie        195  +0.0%
4    Wade                           2  Weedle          195  --> Kakuna          205  +5.1%
4    Wade                           3  Caterpie        195  --> Silcoon         205  +5.1%
5    Victoria                       0  Sentret         215  --> Pichu           205  -4.7%
5    Victoria                       1  Sentret         215  --> Weedle          195  -9.3%
5    Victoria                       2  Sentret         215  --> Poochyena       220  +2.3%
6    Keith                          0  Growlithe       350  --> Phanpy          330  -5.7%
7    Irwin                          0  Voltorb         330  --> Shellder        305  -7.6%
7    Irwin                          1  Voltorb         330  --> -----           320  -3.0%
7    Irwin                          2  Voltorb         330  --> Timburr         305  -7.6%
7    Irwin                          3  Voltorb         330  --> Stufful         340  +3.0%
8    Joey                           0  Rattata         253  --> Diglett         265  +4.7%
9    Elaine                         0  Staryu          340  --> Hattrem         370  +8.8%
10   Amy & Mimi                     0  Spinarak        250  --> Rattata         253  +1.2%
10   Amy & Mimi                     1  Ledyba          265  --> Dewpider        269  +1.5%
11   Mickey                         0  Skiploom        340  --> Trumbeak        355  +4.4%
11   Mickey                         1  Vulpix          299  --> Goldeen         320  +7.0%
11   Mickey                         2  Skiploom        340  --> Chinchou        330  -2.9%
12   Grunt                          0  Rattata         253  --> Wingull         270  +6.7%
12   Grunt                          1  Zubat           245  --> -----           265  +8.2%
12   Grunt                          2  Zubat           245  --> Rattata         253  +3.3%
13   Grunt                          0  Zubat           245  --> Shinx           263  +7.3%
13   Grunt                          1  Ekans           288  --> Solosis         290  +0.7%
14   Duncan                         0  Koffing         340  --> Glameow         310  -8.8%
14   Duncan                         1  Magmar          495  --> Floatzel        495  +0.0%
14   Duncan                         2  Koffing         340  --> Clamperl        345  +1.5%
15   Otis                           0  Magmar          495  --> -----           495  +0.0%
15   Otis                           1  Weezing         490  --> Eelektross      515  +5.1%
15   Otis                           2  Camerupt        460  --> Boltund         490  +6.5%
16   Simon                          0  Tentacool       335  --> Tandemaus       305  -9.0%
16   Simon                          1  Tentacool       335  --> Slowpoke        315  -6.0%
17   Kenji                          0  Machoke         405  --> Quagsire        430  +6.2%
18   Justin                         0  Magikarp        200  --> Wooper          210  +5.0%
18   Justin                         1  Magikarp        200  --> Feebas          200  +0.0%
18   Justin                         2  Magikarp        200  --> Spewpa          213  +6.5%
18   Justin                         3  Magikarp        200  --> Wooper          210  +5.0%
19   Mickey                         0  Koffing         340  --> Scorbunny       310  -8.8%
19   Mickey                         1  Koffing         340  --> Litten          320  -5.9%
19   Mickey                         2  Koffing         340  --> Slowpoke        315  -7.4%
20   Falkner                        0  Pidgey          251  --> Yamper          270  +7.6%
20   Falkner                        2  Weedle          195  --> Pichu           205  +5.1%
20   Falkner                        3  Duskull         295  --> -----           320  +8.5%
21   Bugsy                          0  Scyther         500  --> -----           500  +0.0%
21   Bugsy                          1  Relicanth       485  --> Klang           440  -9.3%
21   Bugsy                          2  Beedrill        395  --> Munchlax        390  -1.3%
21   Bugsy                          4  Slowbro         490  --> Feraligatr      530  +8.2%
21   Bugsy                          5  Nidorino        365  --> Porygon         395  +8.2%
22   Carrie                         0  Snubbull        300  --> Larvitar        300  +0.0%
22   Carrie                         1  Mr. Mime        460  --> Galvantula      472  +2.6%
23   Larry                          0  Slowpoke        315  --> -----           320  +1.6%
24   Alan                           0  Tangela         435  --> Machoke         405  -6.9%
25   Russel                         0  Geodude         300  --> Remoraid        300  +0.0%
25   Russel                         1  Geodude         300  --> Tympole         294  -2.0%
25   Russel                         2  Geodude         300  --> Budew           280  -6.7%
26   Roland                         0  Nidoran[M]      273  --> Rockruff        280  +2.6%
27   Liz                            0  Nidoran[F]      275  --> Steenee         290  +5.5%
28   Jake                           0  Parasect        405  --> Palpitoad       384  -5.2%
28   Jake                           1  Kakuna          205  --> Cleffa          218  +6.3%
28   Jake                           2  Golduck         500  --> Durant          484  -3.2%
28   Jake                           3  Meganium        525  --> -----           552  +5.1%
28   Jake                           4  Vaporeon        525  --> Clefable        483  -8.0%
28   Jake                           5  Primeape        455  --> -----           475  +4.4%
29   Rod                            0  Pidgey          251  --> Toxel           242  -3.6%
29   Rod                            1  Pidgey          251  --> Pikipek         265  +5.6%
30   Whitney                        0  Clefairy        323  --> -----           308  -4.6%
30   Whitney                        1  Skarmory        465  --> Gothitelle      490  +5.4%
30   Whitney                        2  Rattata         253  --> Wingull         270  +6.7%
30   Whitney                        3  Shuckle         505  --> Yanmega         515  +2.0%
31   Morty                          0  Gastly          310  --> Lombre          340  +9.7%
31   Morty                          1  Scizor          500  --> -----           500  +0.0%
31   Morty                          2  Spearow         262  --> Rockruff        280  +6.9%
31   Morty                          3  Omanyte         355  --> Popplio         320  -9.9%
31   Morty                          4  Voltorb         330  --> -----           320  -3.0%
31   Morty                          5  Onix            385  --> Ivysaur         405  +5.2%
31   Morty                          8  Electrode       490  --> Scolipede       485  -1.0%
32   Pryce                          0  Seel            325  --> -----           303  -6.8%
32   Pryce                          1  Espeon          525  --> Eelektross      515  -1.9%
32   Pryce                          2  Nidoran[M]      273  --> Geodude         300  +9.9%
32   Pryce                          3  Cherubi         275  --> Gossifleur      250  -9.1%
32   Pryce                          5  Mudkip          310  --> Oshawott        308  -0.6%
33   Jasmine                        0  Magnemite       325  --> Shellos         325  +0.0%
33   Jasmine                        1  Venomoth        450  --> Wigglytuff      435  -3.3%
33   Jasmine                        2  Nidorina        365  --> Maschiff        340  -6.8%
33   Jasmine                        3  Venonat         305  --> Numel           305  +0.0%
33   Jasmine                        5  Exeggutor       530  --> Celesteela      570  +7.5%
34   Chuck                          0  Primeape        455  --> Terapagos       450  -1.1%
34   Chuck                          1  Linoone         420  --> Zweilous        420  +0.0%
34   Chuck                          2  Nidoqueen       505  --> Drampa          485  -4.0%
34   Chuck                          3  Primeape        455  --> -----           440  -3.3%
35   Clair                          0  Gyarados        540  --> -----           490  -9.3%
35   Clair                          1  Gloom           395  --> Butterfree      395  +0.0%
35   Clair                          2  Ninetales       505  --> Drednaw         485  -4.0%
35   Clair                          3  Magmar          495  --> Krookodile      519  +4.8%
35   Clair                          4  Misdreavus      435  --> Cherrim         450  +3.4%
35   Clair                          5  Seel            325  --> Natu            320  -1.5%
35   Clair                          7  Totodile        314  --> Chewtle         284  -9.6%
35   Clair                          8  Budew           280  --> Binacle         306  +9.3%
36   Joyce                          0  Pikachu         320  --> -----           300  -6.2%
36   Joyce                          1  Seel            325  --> Scorbunny       310  -4.6%
36   Joyce                          2  Blastoise       530  --> Steelix         510  -3.8%
36   Joyce                          3  Magby           365  --> Maschiff        340  -6.8%
37   Preston                        0  Growlithe       350  --> Chinchou        330  -5.7%
37   Preston                        1  Growlithe       350  --> Deerling        335  -4.3%
38   Colette                        0  Clefairy        323  --> -----           299  -7.4%
39   Eugene                         0  Poliwhirl       385  --> Tirtouga        355  -7.8%
39   Eugene                         1  Raticate        413  --> Monferno        405  -1.9%
39   Eugene                         2  Krabby          325  --> Nuzleaf         340  +4.6%
40   Mickey                         0  Grimer          325  --> Swablu          310  -4.6%
41   Clyde                          0  Electabuzz      490  --> Bruxish         475  -3.1%
42   Nathan                         0  Girafarig       455  --> -----           411  -9.7%
43   Chow                           0  Bellsprout      300  --> Glameow         310  +3.3%
43   Chow                           1  Bellsprout      300  --> Spoink          330  +10.0%
43   Chow                           2  Bellsprout      300  --> -----           303  +1.0%
44   Derek                          0  Pikachu         320  --> -----           320  +0.0%
44   Derek                          1  Doduo           310  --> Minccino        300  -3.2%
45   Ruth                           0  Pikachu         320  --> Clamperl        345  +7.8%
45   Ruth                           1  Doduo           310  --> Drilbur         328  +5.8%
46   Martha                         0  Gastly          310  --> Drilbur         328  +5.8%
46   Martha                         1  Haunter         405  --> -----           425  +4.9%
46   Martha                         2  Gastly          310  --> -----           308  -0.6%
47   Mikey                          0  Pidgey          251  --> Swinub          250  -0.4%
47   Mikey                          1  Rattata         253  --> Pidgey          251  -0.8%
48   Rob                            0  Beedrill        395  --> Gabite          410  +3.8%
48   Rob                            1  Butterfree      395  --> Tranquill       358  -9.4%
49   Albert                         0  Rattata         253  --> Tadbulb         272  +7.5%
49   Albert                         1  Zubat           245  --> Toxel           242  -1.2%
50   Abe                            0  Spearow         262  --> Surskit         269  +2.7%
51   Nico                           0  Bellsprout      300  --> Mankey          305  +1.7%
51   Nico                           1  Bellsprout      300  --> Chewtle         284  -5.3%
51   Nico                           2  Bellsprout      300  --> Cottonee        280  -6.7%
52   Edmond                         0  Bellsprout      300  --> Mankey          305  +1.7%
52   Edmond                         1  Bellsprout      300  --> Honedge         325  +8.3%
52   Edmond                         2  Bellsprout      300  --> Rowlet          320  +6.7%
53   Jin                            0  Bellsprout      300  --> Dwebble         325  +8.3%
54   Troy                           0  Bellsprout      300  --> Shelmet         305  +1.7%
54   Troy                           1  Hoothoot        262  --> Wooloo          270  +3.1%
55   Neal                           0  Bellsprout      300  --> Grimer          325  +8.3%
56   Gordon                         0  Wooper          210  --> Wimpod          230  +9.5%
57   Ralph                          0  Goldeen         320  --> Trubbish        329  +2.8%
58   Arnold                         0  Shellder        305  --> Sinistea        308  +1.0%
59   Kyle                           0  Goldeen         320  --> Glameow         310  -3.1%
59   Kyle                           1  Qwilfish        440  --> -----           472  +7.3%
59   Kyle                           2  Goldeen         320  --> Finizen         315  -1.6%
60   Henry                          0  Poliwag         300  --> Golett          303  +1.0%
60   Henry                          1  Poliwag         300  --> Totodile        314  +4.7%
61   Anthony                        0  Geodude         300  --> Gastly          310  +3.3%
61   Anthony                        1  Machop          305  --> Clobbopus       310  +1.6%
62   Samuel                         0  Rattata         253  --> Zubat           245  -3.2%
62   Samuel                         1  Sandshrew       300  --> -----           303  +1.0%
62   Samuel                         2  Spearow         262  --> Dreepy          270  +3.1%
62   Samuel                         3  Spearow         262  --> Milcery         270  +3.1%
63   Mickey                         0  Koffing         340  --> Sobble          310  -8.8%
64   Ian                            0  Mankey          305  --> Arrokuda        280  -8.2%
64   Ian                            1  Oddish          320  --> Trubbish        329  +2.8%
64   Ian                            2  Diglett         265  --> Pidgey          251  -5.3%
64   Ian                            3  Sandslash       450  --> Kingler         475  +5.6%
65   Gina                           0  Hoppip          250  --> Pawmi           240  -4.0%
65   Gina                           1  Hoppip          250  --> Zigzagoon       240  -4.0%
65   Gina                           2  Bulbasaur       318  --> Goomy           300  -5.7%
66   Todd                           0  Psyduck         320  --> Clamperl        345  +7.8%
67   Benny                          0  Weedle          195  --> Cosmog          200  +2.6%
67   Benny                          1  Kakuna          205  --> Tyrogue         210  +2.4%
67   Benny                          2  Beedrill        395  --> Pyukumuku       410  +3.8%
68   Al                             0  Caterpie        195  --> Ralts           198  +1.5%
68   Al                             1  Weedle          195  --> Scatterbug      200  +2.6%
69   Josh                           0  Paras           285  --> Budew           280  -1.8%
70   Samantha                       0  Meowth          290  --> Yamper          270  -6.9%
70   Samantha                       1  Charizard       534  --> Cyclizar        501  -6.2%
70   Samantha                       2  Meowth          290  --> Geodude         300  +3.4%
70   Samantha                       3  Hoothoot        262  --> Ekans           288  +9.9%
